Video, Frame ID, hole count, invalid_percentage, speckle_percentage, incomplete, time_spent_ms  speckleRange
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 1467, 22.6215, 91.5117, 0, 295, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 1406, 22.9924, 94.2507, 0, 295, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 1430, 22.7661, 91.2874, 0, 296, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 1402, 22.2912, 90.7984, 0, 296, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 1504, 23.2311, 91.0799, 0, 295, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 1483, 22.3836, 94.8845, 0, 295, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 1562, 23.7073, 95.4214, 0, 296, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 1600, 23.1718, 90.5513, 0, 296, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 1526, 23.7778, 94.1744, 0, 296, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 1446, 23.315, 94.1228, 0, 296, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 1533, 24.0089, 91.3726, 0, 296, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 1562, 22.9922, 93.5252, 0, 296, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 1481, 22.7921, 91.2846, 0, 300, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 1495, 23.4824, 94.6823, 0, 297, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 1504, 23.1742, 89.7219, 0, 297, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 1447, 24.7367, 93.2399, 0, 296, 3
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 1505, 24.2089, 93.735, 0, 296, 3
