Video, Frame ID, matches, match percent, time_ms, descriptor_size
../Data/Video_Data/Solo_Pillar.mkv, 67, 2, 1.68067, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 68, 2, 1.68067, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 69, 2, 1.7094, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 70, 2, 1.7094, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 71, 2, 1.7094, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 72, 2, 1.68067, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 73, 2, 1.83486, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 74, 2, 1.5748, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 75, 2, 1.6, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 76, 2, 1.65289, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 77, 2, 1.81818, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 78, 2, 1.52672, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 79, 2, 1.81818, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 80, 2, 1.7094, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 81, 2, 1.5625, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 82, 2, 1.55039, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 83, 2, 1.78571, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 84, 2, 1.7094, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 85, 2, 1.66667, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 86, 2, 1.76991, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 87, 2, 1.78571, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 88, 2, 1.7094, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 89, 2, 2.32558, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 90, 2, 2.24719, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 91, 2, 2.27273, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 92, 2, 2.22222, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 93, 2, 2.94118, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 94, 2, 2.77778, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 95, 1, 1.53846, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 96, 1, 1.81818, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 97, 2, 3.33333, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 98, 2, 3.38983, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 99, 2, 3.07692, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 0, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 1, 4, 1.87793, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 2, 4, 1.90476, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 3, 4, 1.9802, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 4, 4, 1.86916, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 5, 4, 1.89573, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 6, 4, 1.99005, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 7, 4, 1.92308, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 8, 4, 2, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 9, 4, 2.03046, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 10, 4, 2.09424, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 11, 4, 2.1164, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 12, 4, 2.07254, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 13, 4, 2.06186, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 14, 4, 2.28571, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 15, 4, 2.20994, 0, 2
../Data/Video_Data/Solo_Pillar.mkv, 16, 4, 2.25989, 0, 2
